x,y,theta,v_ref
-5.1279,8.6132,-3.0701,2.22
-5.3352,8.5983,-3.0696,2.07
-5.5423,8.5833,-3.0698,1.92
-5.7495,8.5685,-3.0715,1.75
-5.9566,8.5542,-3.0739,1.56
-6.1638,8.5404,-3.0773,1.34
-6.3711,8.5275,-3.0816,1.09
-6.5786,8.5155,-3.0870,1.00
-6.7862,8.5048,-3.0932,1.00
-6.9940,8.4954,-3.1005,1.00
-7.2022,8.4877,-3.1090,1.00
-7.4106,8.4818,-3.1181,1.00
-7.6193,8.4779,-3.1284,1.00
-7.8285,8.4763,-3.1394,1.00
-8.0380,8.4770,3.1325,1.00
-8.2480,8.4801,3.1223,1.00
-8.4583,8.4851,3.1143,1.00
-8.6688,8.4916,3.1079,1.00
-8.8794,8.4993,3.1029,1.00
-9.0901,8.5079,3.0998,1.00
-9.3007,8.5169,3.0986,1.00
-9.5112,8.5260,3.0991,1.00
-9.7215,8.5348,3.1012,1.00
-9.9315,8.5430,3.1051,1.00
-10.1411,8.5501,3.1108,1.00
-10.3502,8.5559,3.1181,1.00
-10.5588,8.5599,3.1274,1.00
-10.7667,8.5618,3.1385,1.00
-10.9739,8.5612,-3.1317,1.00
-11.1802,8.5577,-3.1171,1.00
-11.3857,8.5511,-3.1004,1.00
-11.5901,8.5408,-3.0813,1.00
-11.7935,8.5265,-3.0606,1.00
-11.9956,8.5079,-3.0355,1.00
-12.1955,8.4837,-3.0014,1.00
-12.3910,8.4521,-2.9545,1.00
-12.5801,8.4109,-2.8934,1.65
-12.7608,8.3584,-2.8159,1.59
-12.9310,8.2924,-2.7193,1.56
-13.0886,8.2111,-2.6024,1.54
-13.2317,8.1125,-2.4648,1.53
-13.3581,7.9946,-2.3098,1.53
-13.4659,7.8555,-2.1444,1.55
-13.5529,7.6931,-1.9845,1.57
-13.6187,7.5075,-1.8520,1.61
-13.6658,7.3022,-1.7519,1.66
-13.6968,7.0809,-1.6775,1.73
-13.7145,6.8476,-1.6232,1.83
-13.7217,6.6061,-1.5843,1.98
-13.7211,6.3604,-1.5584,2.19
-13.7156,6.1142,-1.5434,2.47
-13.7077,5.8716,-1.5390,2.50
-13.7004,5.6363,-1.5456,2.50
-13.6961,5.4118,-1.5598,2.50
-13.6956,5.1982,-1.5773,2.50
-13.6988,4.9936,-1.5952,2.50
-13.7054,4.7959,-1.6125,2.50
-13.7151,4.6034,-1.6296,2.50
-13.7279,4.4140,-1.6453,2.50
-13.7433,4.2258,-1.6594,2.50
-13.7614,4.0369,-1.6714,2.50
-13.7817,3.8454,-1.6808,2.50
-13.8042,3.6493,-1.6869,2.50
-13.8281,3.4476,-1.6873,2.50
-13.8520,3.2408,-1.6807,2.50
-13.8742,3.0300,-1.6670,2.50
-13.8930,2.8159,-1.6468,2.50
-13.9070,2.5995,-1.6200,2.50
-13.9144,2.3816,-1.5857,2.50
-13.9135,2.1630,-1.5445,2.44
-13.9029,1.9448,-1.4958,2.30
-13.8808,1.7276,-1.4397,2.15
-13.8459,1.5126,-1.3780,2.03
-13.7976,1.3014,-1.3133,1.92
-13.7361,1.0957,-1.2454,1.82
-13.6613,0.8974,-1.1730,1.75
-13.5733,0.7083,-1.0949,1.70
-13.4721,0.5303,-1.0096,1.67
-13.3577,0.3653,-0.9166,1.65
-13.2303,0.2150,-0.8144,1.65
-13.0897,0.0813,-0.7020,1.66
-12.9360,-0.0339,-0.5808,1.68
-12.7694,-0.1289,-0.4581,1.71
-12.5906,-0.2042,-0.3460,1.75
-12.4013,-0.2616,-0.2506,1.81
-12.2031,-0.3034,-0.1717,1.88
-11.9976,-0.3316,-0.1071,1.97
-11.7863,-0.3482,-0.0557,2.09
-11.5709,-0.3554,-0.0162,2.26
-11.3530,-0.3552,0.0130,2.48
-11.1340,-0.3497,0.0327,2.50
-10.9157,-0.3409,0.0439,2.50
-10.6993,-0.3306,0.0508,2.50
-10.4848,-0.3190,0.0566,2.50
-10.2720,-0.3064,0.0617,2.50
-10.0609,-0.2928,0.0667,2.50
-9.8512,-0.2783,0.0711,2.50
-9.6427,-0.2630,0.0751,2.50
-9.4354,-0.2470,0.0784,2.50
-9.2290,-0.2305,0.0814,2.50
-9.0234,-0.2134,0.0838,2.50
-8.8184,-0.1960,0.0853,2.50
-8.6139,-0.1784,0.0866,2.50
-8.4096,-0.1605,0.0874,2.50
-8.2055,-0.1426,0.0875,2.50
-8.0013,-0.1247,0.0869,2.50
-7.7969,-0.1070,0.0858,2.50
-7.5921,-0.0895,0.0841,2.50
-7.3867,-0.0724,0.0820,2.50
-7.1807,-0.0557,0.0795,2.50
-6.9738,-0.0395,0.0763,2.50
-6.7659,-0.0240,0.0724,2.50
-6.5572,-0.0093,0.0683,2.50
-6.3478,0.0046,0.0641,2.50
-6.1378,0.0176,0.0592,2.50
-5.9274,0.0295,0.0538,2.50
-5.7165,0.0403,0.0483,2.50
-5.5055,0.0499,0.0421,2.50
-5.2943,0.0581,0.0355,2.50
-5.0832,0.0649,0.0284,2.50
-4.8722,0.0701,0.0211,2.50
-4.6615,0.0738,0.0133,2.50
-4.4511,0.0757,0.0048,2.50
-4.2412,0.0758,-0.0043,2.50
-4.0320,0.0739,-0.0136,2.50
-3.8235,0.0701,-0.0235,2.50
-3.6159,0.0641,-0.0340,2.50
-3.4092,0.0560,-0.0451,2.50
-3.2037,0.0455,-0.0570,2.50
-2.9994,0.0326,-0.0694,2.50
-2.7964,0.0172,-0.0801,2.50
-2.5945,0.0001,-0.0858,2.50
-2.3928,-0.0175,-0.0845,2.47
-2.1907,-0.0341,-0.0756,2.34
-1.9874,-0.0482,-0.0594,2.21
-1.7822,-0.0584,-0.0365,2.06
-1.5742,-0.0633,-0.0072,1.90
-1.3628,-0.0614,0.0279,1.73
-1.1471,-0.0514,0.0680,1.53
-0.9265,-0.0317,0.1098,1.30
-0.7010,-0.0022,0.1395,1.00
-0.4741,0.0318,0.1447,1.00
-0.2502,0.0635,0.1231,1.00
-0.0337,0.0863,0.0711,1.00
0.1711,0.0935,-0.0146,1.00
0.3564,0.0806,-0.1139,1.00
0.4964,0.0563,-0.2283,1.00
0.5617,0.0329,-0.6009,1.00
0.5568,0.0149,-2.6193,1.00
0.5075,0.0017,-2.9545,1.00
0.4395,-0.0073,-3.0301,1.00
0.3789,-0.0127,-3.0530,1.00
0.3652,-0.0139,-3.0542,1.00
